Date,SERVERS WITH CORTEX IN IXTLAHUACA,SERVERS WITHOUT CORTEX IN  IXTLAHUACA
08/04/25,2831,5473
09/04/25,2842,5470
10/04/25,2843,5470
11/04/25,2836,5470
12/04/25,2840,5469
13/04/25,2823,5467
15/04/25,2822,5474
16/04/25,2829,5470
17/04/25,2834,5470
18/04/25,2829,5469
19/04/25,2828,5470
20/04/25,2828,5470
21/04/25,2829,5470
22/04/25,2873,5428
23/04/25,2902,5371
24/04/25,2897,5375
25/04/25,2992,5292
26/04/25,2993,5291
27/04/25,2993,5292
28/04/25,2993,5290
29/04/25,3103,5198
30/04/25,3100,5193
01/05/25,3104,5191
02/05/25,3099,5184
03/05/25,3100,5184
05/05/25,3099,5182
06/05/25,3206,5080
07/05/25,3392,4894
08/05/25,3397,4899
09/05/25,3402,4900
10/05/25,3397,4898
11/05/25,3394,4893
12/05/25,3394,4892
13/05/25,3625,4919
14/05/25,3805,4742
15/05/25,3938,4605
16/05/25,3955,4604
17/05/25,4107,4428
18/05/25,4097,4426
19/05/25,3875,4406
20/05/25,4101,4309
21/05/25,4103,4313
22/05/25,4105,4311
23/05/25,4102,4313
24/05/25,4105,4315
25/05/25,4105,4311
26/05/25,3873,4293
27/05/25,4113,4315
28/05/25,4181,4271
29/05/25,4178,4276
30/05/25,4186,4269
31/05/25,4284,4250
01/06/25,4279,4247
02/06/25,4036,4226
03/06/25,4282,4252
04/06/25,4290,4870
05/06/25,4287,4871
06/06/25,4358,4875
07/06/25,4387,4875
08/06/25,4382,4868
09/06/25,4139,4850
10/06/25,4378,4873
11/06/25,4387,4882
12/06/25,4394,4877
13/06/25,4397,4879
14/06/25,4404,4882
16/06/25,4163,4870
17/06/25,4408,4888
17/06/25,3938,4406
