Date,SERVERS WITH CORTEX IN LAGO ALBERTO,SERVERS WITHOUT CORTEX IN LAGO ALBERTO
20/05/25,76,78
21/05/25,76,78
22/05/25,76,78
23/05/25,76,78
24/05/25,76,79
25/05/25,76,79
26/05/25,76,79
27/05/25,76,79
28/05/25,76,79
29/05/25,76,79
30/05/25,76,79
31/05/25,78,77
01/06/25,78,77
02/06/25,78,77
03/06/25,78,77
04/06/25,78,77
05/06/25,78,76
06/06/25,78,76
07/06/25,78,76
08/06/25,78,76
09/06/25,78,76
10/06/25,78,76
11/06/25,78,76
12/06/25,78,76
13/06/25,78,76
14/06/25,78,76
16/06/25,78,76
17/06/25,78,76
17/06/25,76,78
