Date,SERVERS IN IXTLAHUACA 2
08/04/25,8304
09/04/25,8312
10/04/25,8313
11/04/25,8306
12/04/25,8309
13/04/25,8290
15/04/25,8296
16/04/25,8299
17/04/25,8304
18/04/25,8298
19/04/25,8298
20/04/25,8298
21/04/25,8299
22/04/25,8301
23/04/25,8273
24/04/25,8272
25/04/25,8284
26/04/25,8284
27/04/25,8285
28/04/25,8283
29/04/25,8301
30/04/25,8293
01/05/25,8295
02/05/25,8283
03/05/25,8284
05/05/25,8281
06/05/25,8286
07/05/25,8286
08/05/25,8296
09/05/25,8302
10/05/25,8295
11/05/25,8287
12/05/25,8286
13/05/25,8544
14/05/25,8547
15/05/25,8543
16/05/25,8559
17/05/25,8535
18/05/25,8523
19/05/25,8281
20/05/25,8410
21/05/25,8416
22/05/25,8416
23/05/25,8415
24/05/25,8420
25/05/25,8416
26/05/25,8166
27/05/25,8428
28/05/25,8452
29/05/25,8454
30/05/25,8455
31/05/25,8534
01/06/25,8526
02/06/25,8262
03/06/25,8534
04/06/25,9160
05/06/25,9158
06/06/25,9233
07/06/25,9262
08/06/25,9250
09/06/25,8989
10/06/25,9251
11/06/25,9269
12/06/25,9271
13/06/25,9276
14/06/25,9286
16/06/25,9033
17/06/25,9296
17/06/25,8344
